Train Step:0,Loss:0.32288743483609167,ACC:0.8871097737896942,MCC:0.775056543877692,AUC:0.9455649185212107,TP:0.9214440738976232,TN:0.8517265833833397,FP:0.1482734166166603,FN:0.0785559261023768
Train Step:1,Loss:0.27763219102360737,ACC:0.8884261995594004,MCC:0.7770557837510974,AUC:0.948147541817881,TP:0.9127097559684506,TN:0.8634007964650047,FP:0.13659920353499536,FN:0.08729024403154942
Train Step:2,Loss:0.27158940078198224,ACC:0.8902262103057331,MCC:0.7830284565117459,AUC:0.9500779187335378,TP:0.940659573341803,TN:0.838252141181605,FP:0.16174785881839507,FN:0.059340426658197026
Train Step:3,Loss:0.2675320281978996,ACC:0.889070979528236,MCC:0.782215604845541,AUC:0.950584261780285,TP:0.949552697051506,TN:0.8267415852926736,FP:0.1732584147073264,FN:0.05044730294849399
Train Step:4,Loss:0.2649543360475151,ACC:0.890844124442534,MCC:0.7819401172641598,AUC:0.9519154993959543,TP:0.9159917420994124,TN:0.8649282635971851,FP:0.1350717364028149,FN:0.08400825790058758
Train Step:5,Loss:0.2617305251202364,ACC:0.8919993552200312,MCC:0.7859560426093759,AUC:0.9518833515707449,TP:0.9373775872108412,TN:0.8452348480715728,FP:0.15476515192842724,FN:0.06262241278915887
Train Step:6,Loss:0.25991001877634007,ACC:0.8915426360754393,MCC:0.7831563771853525,AUC:0.9514569196574462,TP:0.9125509501879202,TN:0.8698925317767716,FP:0.1301074682232284,FN:0.08744904981207982
Train Step:7,Loss:0.2570883643010567,ACC:0.8915963677395089,MCC:0.7878129961205803,AUC:0.9542130257004342,TP:0.9550050288497168,TN:0.8262506137144727,FP:0.17374938628552725,FN:0.044994971150283204
Train Step:8,Loss:0.2545628988109101,ACC:0.8906291977862555,MCC:0.7868878096574684,AUC:0.9538507378309232,TP:0.9595045259647451,TN:0.8196497736075501,FP:0.18035022639244994,FN:0.040495474035254886
Train Step:9,Loss:0.25260034524675073,ACC:0.8938530976304336,MCC:0.7876981627681122,AUC:0.9546563364853564,TP:0.9123921444073898,TN:0.8747476951612023,FP:0.12525230483879768,FN:0.08760785559261024
Train Step:10,Loss:0.24962696400524556,ACC:0.8962172908494976,MCC:0.7927354845617307,AUC:0.9554163751812598,TP:0.9220263617595681,TN:0.8696197697888822,FP:0.13038023021111778,FN:0.07797363824043195
Train Step:11,Loss:0.24760015927169515,ACC:0.8871635054537639,MCC:0.7749409829261895,AUC:0.9552100833160451,TP:0.8749139802022127,TN:0.8997872456494463,FP:0.10021275435055371,FN:0.1250860197977873
Train Step:12,Loss:0.24580036402605046,ACC:0.8970769974746118,MCC:0.7943105907021601,AUC:0.9549911835545928,TP:0.919908951352496,TN:0.8735475424144891,FP:0.12645245758551088,FN:0.0800910486475041
Train Step:13,Loss:0.24448952978883667,ACC:0.8968083391542636,MCC:0.7943572059782781,AUC:0.9553671362351427,TP:0.9293314276639669,TN:0.8632916916698489,FP:0.1367083083301511,FN:0.07066857233603303
Train Step:14,Loss:0.2418579854242418,ACC:0.8973725216269948,MCC:0.7959919328766424,AUC:0.9567007894498049,TP:0.9357365941453603,TN:0.8578364519120615,FP:0.14216354808793846,FN:0.06426340585463977
Train Step:15,Loss:0.24024868324912826,ACC:0.8967814733222288,MCC:0.7940048203473007,AUC:0.9561404109118992,TP:0.924990736329469,TN:0.8677104358736566,FP:0.13228956412634335,FN:0.07500926367053094
Train Step:16,Loss:0.2383372397772197,ACC:0.89734565579496,MCC:0.7949944131700656,AUC:0.956345593882896,TP:0.9231380022232809,TN:0.8707653701380176,FP:0.12923462986198245,FN:0.07686199777671908
Train Step:17,Loss:0.23665750115767292,ACC:0.8960292300252539,MCC:0.7928684710897104,AUC:0.955282643693682,TP:0.9294902334444973,TN:0.8615460149473569,FP:0.13845398505264306,FN:0.07050976655550262
Train Step:18,Loss:0.2344234877105417,ACC:0.8975605824512385,MCC:0.7954993376869939,AUC:0.9562418227534184,TP:0.9246731247684082,TN:0.8696197697888822,FP:0.13038023021111778,FN:0.07532687523159176
Train Step:19,Loss:0.23267886193319298,ACC:0.8962172908494976,MCC:0.793867266119914,AUC:0.9553949524423138,TP:0.9365306230480123,TN:0.8546724128525449,FP:0.14532758714745514,FN:0.06346937695198772
Train Step:20,Loss:0.22926185708707092,ACC:0.8969695341464725,MCC:0.794692294512564,AUC:0.9560022279648505,TP:0.9296490392250278,TN:0.8632916916698489,FP:0.1367083083301511,FN:0.07035096077497222
Train Step:21,Loss:0.22652209088548847,ACC:0.8955993767126967,MCC:0.7948617368547977,AUC:0.9556578527798019,TP:0.9529934889629983,TN:0.8364519120615351,FP:0.1635480879384649,FN:0.04700651103700175
Train Step:22,Loss:0.22254057992463824,ACC:0.8969158024824029,MCC:0.7958698582821183,AUC:0.956004298478273,TP:0.9426181779683447,TN:0.8498172494681141,FP:0.15018275053188587,FN:0.05738182203165529
Train Step:23,Loss:0.21956752341711658,ACC:0.8975605824512385,MCC:0.79610566667033,AUC:0.9559228236307125,TP:0.9330368958763432,TN:0.8610004909715782,FP:0.13899950902842179,FN:0.06696310412365676
Train Step:24,Loss:0.21407527736891274,ACC:0.8961098275213584,MCC:0.7942971772421102,AUC:0.9546707116817539,TP:0.9421946958869303,TN:0.848617096721401,FP:0.1513829032785991,FN:0.057805304113069715
Train Step:25,Loss:0.21031752000081128,ACC:0.8938262317983988,MCC:0.7889489436841013,AUC:0.9525612108092201,TP:0.9329310253559896,TN:0.8535268125034096,FP:0.14647318749659047,FN:0.06706897464401038
Train Step:26,Loss:0.20557026173705342,ACC:0.8937725001343292,MCC:0.7879257036969525,AUC:0.9534687887471356,TP:0.9211264623365624,TN:0.8655828923681196,FP:0.13441710763188042,FN:0.07887353766343762
Train Step:27,Loss:0.19943749082071344,ACC:0.8950083284079308,MCC:0.7927570406560823,AUC:0.953631780314564,TP:0.9462707109205442,TN:0.8421799138072118,FP:0.15782008619278817,FN:0.05372928907945582
Train Step:28,Loss:0.19262632997385387,ACC:0.8911665144269518,MCC:0.7852200481430677,AUC:0.9496607160544068,TP:0.9437827536922344,TN:0.836942883639736,FP:0.16305711636026404,FN:0.0562172463077656
Train Step:29,Loss:0.18653238967660515,ACC:0.8934769759819462,MCC:0.7874531360872563,AUC:0.9520480974434787,TP:0.9227674554020433,TN:0.8632916916698489,FP:0.1367083083301511,FN:0.0772325445979567
