Train Step:0,Loss:0.3237324627994121,ACC:0.8818709365429047,MCC:0.7636497154854975,AUC:0.945003107661607,TP:0.8856069027579271,TN:0.8780208390158748,FP:0.12197916098412526,FN:0.11439309724207294
Train Step:1,Loss:0.27768666115642965,ACC:0.8857933480199882,MCC:0.771443520752237,AUC:0.9476246519902264,TP:0.8968821131755863,TN:0.8743658283781572,FP:0.1256341716218428,FN:0.10311788682441374
Train Step:2,Loss:0.27248325495199227,ACC:0.8916769652356134,MCC:0.7845991913090538,AUC:0.9499123022055783,TP:0.930390132867503,TN:0.8517811357809175,FP:0.14821886421908242,FN:0.06960986713249695
Train Step:3,Loss:0.26654987938102637,ACC:0.8924292085325882,MCC:0.7855277630215585,AUC:0.9511240810151069,TP:0.9242496426869938,TN:0.8596366810321313,FP:0.14036331896786863,FN:0.0757503573130062
Train Step:4,Loss:0.2627284115587158,ACC:0.8909515877706733,MCC:0.7855509676645751,AUC:0.9523544727873475,TP:0.9486527976285003,TN:0.8314876438819486,FP:0.16851235611805138,FN:0.05134720237149966
Train Step:5,Loss:0.26020679845549594,ACC:0.8924292085325882,MCC:0.7869196219110569,AUC:0.95282947368984,TP:0.9386480334550844,TN:0.8447984288909498,FP:0.15520157110905025,FN:0.061351966544915565
Train Step:6,Loss:0.258590681114416,ACC:0.8933695126538069,MCC:0.7892463741194035,AUC:0.9531245261841559,TP:0.9430416600497591,TN:0.8421799138072118,FP:0.15782008619278817,FN:0.056958339950240855
Train Step:7,Loss:0.25536782061574104,ACC:0.8954381817204878,MCC:0.7920940484946142,AUC:0.9543346719736842,TP:0.9336191837382881,TN:0.8560907751895696,FP:0.14390922481043042,FN:0.06638081626171193
Train Step:8,Loss:0.2541709954026102,ACC:0.8926710010209016,MCC:0.7890859447397465,AUC:0.9545225732325799,TP:0.9508231432957494,TN:0.8327423490262397,FP:0.1672576509737603,FN:0.049176856704250704
Train Step:9,Loss:0.2521545446552764,ACC:0.8949008650797915,MCC:0.7899997706159458,AUC:0.9546029752827393,TP:0.9187443756286062,TN:0.8703289509573946,FP:0.12967104904260543,FN:0.08125562437139379
Train Step:10,Loss:0.24965086975830725,ACC:0.8959486325291495,MCC:0.7933720912111191,AUC:0.9546421966402059,TP:0.9366894288285427,TN:0.8539632316840325,FP:0.14603676831596749,FN:0.0633105711714573
Train Step:11,Loss:0.24837087984571513,ACC:0.893799365966364,MCC:0.7887422232981917,AUC:0.9535759226560838,TP:0.9312900322905087,TN:0.8551633844307457,FP:0.14483661556925426,FN:0.0687099677094913
Train Step:12,Loss:0.24726788963394603,ACC:0.8934769759819462,MCC:0.7903081210767395,AUC:0.9542936443314953,TP:0.9490762797099148,TN:0.8361791500736457,FP:0.16382084992635426,FN:0.050923720290085225
Train Step:13,Loss:0.24498560364390243,ACC:0.8960560958572887,MCC:0.7930234905237553,AUC:0.9544781192805225,TP:0.9307606796887407,TN:0.8602913098030659,FP:0.13970869019693416,FN:0.06923932031125933
Train Step:14,Loss:0.2433735349140633,ACC:0.8953844500564182,MCC:0.7913384423380242,AUC:0.954891576553923,TP:0.9256259594515907,TN:0.8642190824286727,FP:0.13578091757132726,FN:0.07437404054840929
Train Step:15,Loss:0.24132286871986827,ACC:0.8962978883456021,MCC:0.7928590802509246,AUC:0.9555894565309726,TP:0.9213911386374464,TN:0.8704380557525503,FP:0.12956194424744968,FN:0.0786088613625536
Train Step:16,Loss:0.23926552197542683,ACC:0.8965665466659503,MCC:0.7940352782880525,AUC:0.9546231375208359,TP:0.9311312265099783,TN:0.8609459385740004,FP:0.1390540614259997,FN:0.0688687734900217
Train Step:17,Loss:0.23856357814765525,ACC:0.8955187792165923,MCC:0.7914945743918423,AUC:0.9543479166177735,TP:0.9240379016462866,TN:0.8661284163438984,FP:0.1338715836561017,FN:0.07596209835371341
Train Step:18,Loss:0.23663594546331757,ACC:0.8954919133845575,MCC:0.7940301638644892,AUC:0.9555591149904851,TP:0.9488645386692076,TN:0.8404887894822978,FP:0.15951121051770226,FN:0.05113546133079244
Train Step:19,Loss:0.23447475680845908,ACC:0.8941217559507818,MCC:0.791500013323039,AUC:0.9526737419142444,TP:0.949023344449738,TN:0.8375429600130926,FP:0.16245703998690741,FN:0.050976655550262026
Train Step:20,Loss:0.2339367237669983,ACC:0.8941754876148514,MCC:0.7882949826991941,AUC:0.9549771534437659,TP:0.9109099571224393,TN:0.8769297910643172,FP:0.12307020893568273,FN:0.08909004287756074
Train Step:21,Loss:0.2312351343104209,ACC:0.8967008758261243,MCC:0.7954385258930947,AUC:0.9550868848796644,TP:0.9424064369276375,TN:0.8495990398778026,FP:0.15040096012219736,FN:0.0575935630723625
Train Step:22,Loss:0.22978298730034938,ACC:0.8967814733222288,MCC:0.7945104109646155,AUC:0.9550269814899364,TP:0.9318723201524536,TN:0.8606186241885331,FP:0.13938137581146692,FN:0.06812767984754645
Train Step:23,Loss:0.2277168850104014,ACC:0.8967008758261243,MCC:0.7940173689482981,AUC:0.9551563568136401,TP:0.9275316288179556,TN:0.8649282635971851,FP:0.1350717364028149,FN:0.07246837118204436
Train Step:24,Loss:0.22543858911456732,ACC:0.8956531083767665,MCC:0.7933072428872334,AUC:0.9545739823193344,TP:0.9411359906833943,TN:0.8487807539141345,FP:0.15121924608586548,FN:0.05886400931660579
Train Step:25,Loss:0.2248075521968562,ACC:0.8938262317983988,MCC:0.7880808146573095,AUC:0.9534178330364025,TP:0.9219734264993913,TN:0.8648191588020293,FP:0.13518084119797066,FN:0.07802657350060875
Train Step:26,Loss:0.22261236599464526,ACC:0.897479984955134,MCC:0.7954539188754711,AUC:0.9551039153579195,TP:0.9264729236144196,TN:0.8676013310785009,FP:0.1323986689214991,FN:0.07352707638558044
Train Step:27,Loss:0.22130829312506764,ACC:0.895411315888453,MCC:0.7910054191304213,AUC:0.9546394244046612,TP:0.9189031814091366,TN:0.8712017893186406,FP:0.12879821068135944,FN:0.08109681859086337
Train Step:28,Loss:0.2206390353283663,ACC:0.8957605717049058,MCC:0.7920141783940149,AUC:0.9536637736453969,TP:0.9248319305489386,TN:0.8658011019584311,FP:0.13419889804156893,FN:0.07516806945106135
Train Step:29,Loss:0.21710901484749784,ACC:0.8945516092633389,MCC:0.7897052028465475,AUC:0.9531017678629813,TP:0.9253083478905298,TN:0.8628552724892259,FP:0.1371447275107741,FN:0.07469165210947012
