Train Step:0,Loss:0.4072507081189375,ACC:0.829831819891462,MCC:0.6652822641380445,AUC:0.8993597654845823,TP:0.9056693663649357,TN:0.7516774862255197,FP:0.2483225137744804,FN:0.09433063363506432
Train Step:1,Loss:0.3835242984109911,ACC:0.8298049540594272,MCC:0.6656053977884068,AUC:0.9014968674272577,TP:0.9076809062516542,TN:0.7495499427199825,FP:0.25045005728001746,FN:0.09231909374834578
Train Step:2,Loss:0.38121326029643243,ACC:0.8303154048680887,MCC:0.6635863760694624,AUC:0.9025159123360327,TP:0.889153565189773,TN:0.7696797774262178,FP:0.23032022257378212,FN:0.11084643481022709
Train Step:3,Loss:0.38038725359686487,ACC:0.8300198807157058,MCC:0.6606304122636599,AUC:0.9027094822390679,TP:0.86485628076862,TN:0.7941192515411052,FP:0.20588074845889476,FN:0.13514371923138002
Train Step:4,Loss:0.3792605920427147,ACC:0.8301810757079147,MCC:0.6609534570804234,AUC:0.9024652222978726,TP:0.8650150865491504,TN:0.7942829087338389,FP:0.20571709126616114,FN:0.13498491345084962
Train Step:5,Loss:0.3787552378814796,ACC:0.8317392939659342,MCC:0.6644141922443103,AUC:0.9033438318182185,TP:0.8712614472500132,TN:0.7910097648791664,FP:0.20899023512083356,FN:0.12873855274998677
Train Step:6,Loss:0.3781999510766446,ACC:0.8311482456611681,MCC:0.6648580690332346,AUC:0.9031355950565046,TP:0.8868244137419935,TN:0.7737712072445584,FP:0.2262287927554416,FN:0.11317558625800646
Train Step:7,Loss:0.37792343757618435,ACC:0.8315243673096556,MCC:0.6641197852784054,AUC:0.9037222751791405,TP:0.8727436345349637,TN:0.789045878566363,FP:0.210954121433637,FN:0.12725636546503627
Train Step:8,Loss:0.3776817277758971,ACC:0.8308258556767503,MCC:0.6632589264911911,AUC:0.9037883294664835,TP:0.8779842252924673,TN:0.7822268288691288,FP:0.2177731711308712,FN:0.12201577470753269
Train Step:9,Loss:0.37750995402363524,ACC:0.8313094406533771,MCC:0.6638147017218442,AUC:0.9040532165727788,TP:0.8740140807792071,TN:0.7873002018438711,FP:0.21269979815612897,FN:0.12598591922079297
Train Step:10,Loss:0.3767820204640257,ACC:0.8309601848369244,MCC:0.6638389183613501,AUC:0.9040971853836156,TP:0.8811074056428987,TN:0.7792809993999237,FP:0.22071900060007638,FN:0.11889259435710127
Train Step:11,Loss:0.377039671458047,ACC:0.8311213798291333,MCC:0.6638496327773742,AUC:0.903748719707266,TP:0.8782489015933513,TN:0.782554143254596,FP:0.21744585674540395,FN:0.12175109840664868
Train Step:12,Loss:0.37652682614052435,ACC:0.8311482456611681,MCC:0.6639754043306163,AUC:0.9042059768584,TP:0.8789899952358265,TN:0.7818449620860837,FP:0.21815503791391633,FN:0.12101000476417341
Train Step:13,Loss:0.3762230450908343,ACC:0.8317930256300038,MCC:0.6654748701808486,AUC:0.9043198984128147,TP:0.88158382298449,TN:0.7804811521466368,FP:0.21951884785336315,FN:0.11841617701551004
Train Step:14,Loss:0.3754556659994454,ACC:0.831766159797969,MCC:0.6650917927898317,AUC:0.9043689510993562,TP:0.8783547721137049,TN:0.7837542960013093,FP:0.21624570399869075,FN:0.12164522788629506
Train Step:15,Loss:0.37549020666843175,ACC:0.8316049648057601,MCC:0.6649823970235971,AUC:0.9039788470226743,TP:0.8803133767402467,TN:0.7814085429054607,FP:0.2185914570945393,FN:0.11968662325975332
Train Step:16,Loss:0.37532586833868903,ACC:0.8315512331416904,MCC:0.6655164399547443,AUC:0.9047170442565544,TP:0.8859774495791647,TN:0.7754623315694725,FP:0.22453766843052753,FN:0.11402255042083533
Train Step:17,Loss:0.3749009077576385,ACC:0.8324646714308742,MCC:0.6651351893383691,AUC:0.904684206260204,TP:0.8601450426128845,TN:0.8039386831051225,FP:0.19606131689487752,FN:0.13985495738711556
