Train Step:0,Loss:0.3509383913086749,ACC:0.8639782924077158,MCC:0.7313433633358882,AUC:0.9309869388692406,TP:0.9224498438409825,TN:0.803720473514811,FP:0.19627952648518904,FN:0.07755015615901752
Train Step:1,Loss:0.3150301543631773,ACC:0.8676051797324164,MCC:0.7356547751857628,AUC:0.9348144576392172,TP:0.8975173362977079,TN:0.8367792264470023,FP:0.16322077355299766,FN:0.1024826637022921
Train Step:2,Loss:0.3077095428931302,ACC:0.8703992262640374,MCC:0.7417571803734572,AUC:0.9375721504982802,TP:0.9073103594304166,TN:0.8323604822431946,FP:0.1676395177568054,FN:0.0926896405695834
Train Step:3,Loss:0.30289781898602675,ACC:0.8700499704475848,MCC:0.7426118209362736,AUC:0.9393581170440216,TP:0.9216558149383304,TN:0.8168676013310785,FP:0.1831323986689215,FN:0.07834418506166958
Train Step:4,Loss:0.2992449430556133,ACC:0.8716619203696738,MCC:0.7441828361173749,AUC:0.9395197715853485,TP:0.9072574241702398,TN:0.8349789973269325,FP:0.1650210026730675,FN:0.0927425758297602
Train Step:5,Loss:0.2964990437715903,ACC:0.8734350652839719,MCC:0.7473033580467418,AUC:0.9411324243178758,TP:0.9028108623153883,TN:0.8431618569636136,FP:0.15683814303638646,FN:0.09718913768461172
Train Step:6,Loss:0.292918342386169,ACC:0.8733276019558326,MCC:0.7483589428726171,AUC:0.9416218697226544,TP:0.9178444762056005,TN:0.827450766461186,FP:0.17254923353881402,FN:0.08215552379439944
Train Step:7,Loss:0.2899174546715857,ACC:0.8741873085809467,MCC:0.7482495004547709,AUC:0.9419753311984751,TP:0.8882007305065904,TN:0.8597457858272871,FP:0.1402542141727129,FN:0.11179926949340956
Train Step:8,Loss:0.288087814404019,ACC:0.8752619418623395,MCC:0.7512118763062241,AUC:0.9428948398563416,TP:0.9083690646339527,TN:0.8411434182532322,FP:0.15885658174676778,FN:0.09163093536604733
Train Step:9,Loss:0.2859929616937692,ACC:0.8769007576164634,MCC:0.755727150865136,AUC:0.9433182020963236,TP:0.9231380022232809,TN:0.8292509955812558,FP:0.17074900441874422,FN:0.07686199777671908
Train Step:10,Loss:0.284106155990184,ACC:0.877250013432916,MCC:0.7549434109225703,AUC:0.9435523838062159,TP:0.9065692657879414,TN:0.8470350771916426,FP:0.15296492280835744,FN:0.09343073421205865
Train Step:11,Loss:0.2821954250335693,ACC:0.8765246359679759,MCC:0.7533255402173458,AUC:0.9435756547021918,TP:0.9029167328357419,TN:0.8493262778899132,FP:0.15067372211008673,FN:0.09708326716425811
Train Step:12,Loss:0.280141841080682,ACC:0.8763097093116974,MCC:0.7536905974715241,AUC:0.9433593308095999,TP:0.9141390079932243,TN:0.8373247504227811,FP:0.1626752495772189,FN:0.08586099200677572
Train Step:13,Loss:0.2787951937352104,ACC:0.8770350867766374,MCC:0.7547954034723418,AUC:0.9440305799989485,TP:0.9105394103012017,TN:0.8425072281926791,FP:0.15749277180732094,FN:0.08946058969879837
Train Step:14,Loss:0.2769169052184998,ACC:0.8762828434796626,MCC:0.7527721748685171,AUC:0.9430406262369205,TP:0.901275739770261,TN:0.8505264306366265,FP:0.14947356936337353,FN:0.09872426022973903
Train Step:15,Loss:0.2750210620634172,ACC:0.8767664284562893,MCC:0.7543620742919499,AUC:0.943929992608729,TP:0.9116510507649145,TN:0.840816103867765,FP:0.15918389613223502,FN:0.08834894923508549
Train Step:16,Loss:0.2737306764756126,ACC:0.877250013432916,MCC:0.75460025849841,AUC:0.9437405550693024,TP:0.8997406172251337,TN:0.8540723364791882,FP:0.14592766352081174,FN:0.10025938277486633
Train Step:17,Loss:0.2720679433695201,ACC:0.8769276234484982,MCC:0.7566503124118644,AUC:0.9439626472332492,TP:0.9300725213064422,TN:0.8221591838961322,FP:0.17784081610386776,FN:0.06992747869355778
Train Step:18,Loss:0.2710669333393546,ACC:0.8765246359679759,MCC:0.7529115267374984,AUC:0.9443194743762863,TP:0.8892065004499498,TN:0.8634553488625825,FP:0.13654465113741748,FN:0.11079349955005029
Train Step:19,Loss:0.26892818330690776,ACC:0.8769276234484982,MCC:0.7542049971837139,AUC:0.9445054033051014,TP:0.9046635964215765,TN:0.8483443347335116,FP:0.15165566526648847,FN:0.09533640357842359
Train Step:20,Loss:0.2669105895120522,ACC:0.87593358766321,MCC:0.7519623092837001,AUC:0.9439715544838093,TP:0.8983643004605367,TN:0.8528176313348972,FP:0.14718236866510284,FN:0.10163569953946323
Train Step:21,Loss:0.2651146721822777,ACC:0.8771694159368115,MCC:0.7551884042586076,AUC:0.9440858398941394,TP:0.9122862738870362,TN:0.8409797610604987,FP:0.1590202389395014,FN:0.08771372611296384
Train Step:22,Loss:0.2638317430841512,ACC:0.8776530009134383,MCC:0.7557585618012272,AUC:0.9436601457997797,TP:0.9070986183897094,TN:0.8473078391795319,FP:0.15269216082046805,FN:0.09290138161029061
Train Step:23,Loss:0.26183705081542336,ACC:0.8764171726398367,MCC:0.753239077692653,AUC:0.9436100520810362,TP:0.9051400137631677,TN:0.8468168676013311,FP:0.15318313239866893,FN:0.09485998623683235
Train Step:24,Loss:0.26027928198548567,ACC:0.8777604642415776,MCC:0.7564895776962727,AUC:0.944006346039895,TP:0.9142978137737547,TN:0.8401069226992526,FP:0.15989307730074737,FN:0.0857021862262453
Train Step:25,Loss:0.2584812729094905,ACC:0.8751276127021654,MCC:0.7503532963894536,AUC:0.9428995959729478,TP:0.8976761420782383,TN:0.8518902405760733,FP:0.14810975942392668,FN:0.10232385792176169
Train Step:26,Loss:0.2569844005436733,ACC:0.8770082209446026,MCC:0.7553805926665305,AUC:0.9437424407670219,TP:0.9179503467259541,TN:0.8348153401341989,FP:0.1651846598658011,FN:0.08204965327404584
Train Step:27,Loss:0.2552426054474266,ACC:0.8778141959056472,MCC:0.7564062487022274,AUC:0.9442338830477166,TP:0.9119686623259753,TN:0.8426163329878348,FP:0.1573836670121652,FN:0.08803133767402467
Train Step:28,Loss:0.25263756697719125,ACC:0.8748052227177475,MCC:0.7499987421527621,AUC:0.9419220739546907,TP:0.9033402149171563,TN:0.8453985052643064,FP:0.15460149473569362,FN:0.09665978508284369
Train Step:29,Loss:0.2505908480663409,ACC:0.8757455268389662,MCC:0.7521654384744519,AUC:0.9423401804981192,TP:0.9086337409348367,TN:0.8418525994217446,FP:0.1581474005782554,FN:0.09136625906516331
