Train Step:0,Loss:0.3566938772626307,ACC:0.8619902208371393,MCC:0.7242694108761948,AUC:0.9288653888791961,TP:0.8894711767508338,TN:0.8336697397850635,FP:0.16633026021493644,FN:0.11052882324916627
Train Step:1,Loss:0.3200628100798048,ACC:0.8650260598570738,MCC:0.7311248733063731,AUC:0.932008039852711,TP:0.9036578264782171,TN:0.8252141181604932,FP:0.17478588183950686,FN:0.09634217352178286
Train Step:2,Loss:0.3133858860052865,ACC:0.8677126430605556,MCC:0.7355975098938037,AUC:0.935310962137526,TP:0.8924355513207347,TN:0.8422344662047897,FP:0.1577655337952103,FN:0.10756444867926526
Train Step:3,Loss:0.3059300993879636,ACC:0.87002310461555,MCC:0.7429948388116553,AUC:0.9383655758621521,TP:0.9248848658091154,TN:0.8134853526812503,FP:0.18651464731874967,FN:0.07511513419088454
Train Step:4,Loss:0.2998004871880871,ACC:0.867954435548869,MCC:0.7357827791968949,AUC:0.9393391084601956,TP:0.873749404478323,TN:0.8619824341279799,FP:0.13801756587202008,FN:0.126250595521677
Train Step:5,Loss:0.29651925887527136,ACC:0.8698081779592713,MCC:0.7453265242174809,AUC:0.9416354839981497,TP:0.9412947964639247,TN:0.7961376902514865,FP:0.20386230974851344,FN:0.05870520353607538
Train Step:6,Loss:0.2926850618473415,ACC:0.873999247756703,MCC:0.7497730374941358,AUC:0.9418474084106871,TP:0.9191149224498438,TN:0.8275053188587639,FP:0.17249468114123614,FN:0.08088507755015616
Train Step:7,Loss:0.2904990589481661,ACC:0.8763903068078018,MCC:0.7534047171287446,AUC:0.9428640030675248,TP:0.9085278704144831,TN:0.8432709617587693,FP:0.1567290382412307,FN:0.09147212958551691
Train Step:8,Loss:0.28777509367671505,ACC:0.8755306001826877,MCC:0.7525140398683373,AUC:0.9429173989230863,TP:0.9174739293843629,TN:0.8323059298456167,FP:0.16769407015438328,FN:0.08252607061563708
Train Step:9,Loss:0.2851157404225448,ACC:0.8767664284562893,MCC:0.7536759046019914,AUC:0.9439294973604001,TP:0.9003229050870785,TN:0.8524903169494299,FP:0.14750968305057008,FN:0.0996770949129215
Train Step:10,Loss:0.28246453589406506,ACC:0.8776261350814035,MCC:0.756156861271957,AUC:0.9438604860218094,TP:0.913397914350749,TN:0.8407615514701872,FP:0.1592384485298129,FN:0.08660208564925097
Train Step:11,Loss:0.2797684078929068,ACC:0.8784052442104132,MCC:0.7571272104687288,AUC:0.9449598492361283,TP:0.9054576253242285,TN:0.8505264306366265,FP:0.14947356936337353,FN:0.09454237467577153
Train Step:12,Loss:0.2781121083545959,ACC:0.8784052442104132,MCC:0.7586923978031012,AUC:0.9451905916412982,TP:0.9241437721666402,TN:0.8312694342916371,FP:0.1687305657083629,FN:0.0758562278333598
Train Step:13,Loss:0.2754633255902378,ACC:0.8786739025307614,MCC:0.7582675228100068,AUC:0.9452175776216784,TP:0.9145624900746387,TN:0.8416889422290109,FP:0.15831105777098903,FN:0.08543750992536128
Train Step:14,Loss:0.2726442340119132,ACC:0.8781903175541347,MCC:0.7563487766500656,AUC:0.9453111333519482,TP:0.896670372134879,TN:0.8591457094539305,FP:0.1408542905460695,FN:0.10332962786512095
Train Step:15,Loss:0.2704444186183913,ACC:0.8784858417065177,MCC:0.7570373548477283,AUC:0.9452962268104049,TP:0.9000052935260177,TN:0.856308984779881,FP:0.14369101522011893,FN:0.09999470647398231
Train Step:16,Loss:0.26735068818275953,ACC:0.8773574767610552,MCC:0.754608091038256,AUC:0.9452939339405897,TP:0.8924355513207347,TN:0.8618187769352463,FP:0.1381812230647537,FN:0.10756444867926526
Train Step:17,Loss:0.2647952337203355,ACC:0.8789425608511096,MCC:0.7601093669463709,AUC:0.9452458630874703,TP:0.9275316288179556,TN:0.8288691287982107,FP:0.17113087120178933,FN:0.07246837118204436
Train Step:18,Loss:0.26248924851246264,ACC:0.8774918059212293,MCC:0.7548923608488846,AUC:0.9451746844959877,TP:0.893441321264094,TN:0.8610550433691561,FP:0.1389449566308439,FN:0.10655867873590599
Train Step:19,Loss:0.25898148664112747,ACC:0.8788082316909355,MCC:0.7577560822674855,AUC:0.9456433641238893,TP:0.9021756391932666,TN:0.8547269652501227,FP:0.14527303474987727,FN:0.09782436080673336
Train Step:20,Loss:0.255972355210233,ACC:0.8791843533394229,MCC:0.7591374560950223,AUC:0.9450895450995668,TP:0.913133238049865,TN:0.8441983525175931,FP:0.15580164748240685,FN:0.08686676195013499
Train Step:21,Loss:0.2528528531991887,ACC:0.8767126967922196,MCC:0.7532836929877771,AUC:0.9439129072633123,TP:0.8888888888888888,TN:0.8641645300310948,FP:0.13583546996890514,FN:0.1111111111111111
Train Step:22,Loss:0.25001216885344735,ACC:0.8777335984095428,MCC:0.7569976641909122,AUC:0.9430081058925597,TP:0.9202794981737336,TN:0.833887949375375,FP:0.16611205062462495,FN:0.07972050182626647
Train Step:23,Loss:0.24695676809241032,ACC:0.8775992692493687,MCC:0.7557315944107793,AUC:0.9431946123704468,TP:0.9083161293737759,TN:0.845944029240085,FP:0.1540559707599149,FN:0.09168387062622413
Train Step:24,Loss:0.24434311426747804,ACC:0.8778141959056472,MCC:0.7560211107036723,AUC:0.9428899956635017,TP:0.9062516542268805,TN:0.8485079919262452,FP:0.15149200807375485,FN:0.09374834577311947
Train Step:25,Loss:0.23970612576980702,ACC:0.8771962817688463,MCC:0.754499031946775,AUC:0.9428221538617815,TP:0.8998464877454873,TN:0.8538541268888767,FP:0.14614587311112323,FN:0.10015351225451273
Train Step:26,Loss:0.23712573685180183,ACC:0.8754500026865832,MCC:0.7508003727710985,AUC:0.9419241603507128,TP:0.8910592345561379,TN:0.859363919044242,FP:0.140636080955758,FN:0.10894076544386215
Train Step:27,Loss:0.23366803486628093,ACC:0.8768470259523937,MCC:0.7548051653613915,AUC:0.9417754198066314,TP:0.9150918426764068,TN:0.8374338552179368,FP:0.16256614478206316,FN:0.08490815732359325
Train Step:28,Loss:0.22904529424234368,ACC:0.870909677072699,MCC:0.7416699099190422,AUC:0.9385653587493274,TP:0.8794664125774179,TN:0.8620915389231357,FP:0.13790846107686433,FN:0.12053358742258218
