Train Step:0,Loss:0.3232933875986899,ACC:0.8867873838052764,MCC:0.7739926511319135,AUC:0.9449016149632178,TP:0.9151447779365836,TN:0.8575636899241722,FP:0.14243631007582783,FN:0.08485522206341645
Train Step:1,Loss:0.27741933525807555,ACC:0.8878351512546343,MCC:0.7782788184632752,AUC:0.9471469842548947,TP:0.9387009687152612,TN:0.8354154165075555,FP:0.16458458349244448,FN:0.061299031284738764
Train Step:2,Loss:0.2740787871181965,ACC:0.8888023212078878,MCC:0.7777026820115662,AUC:0.9484882062501432,TP:0.9106452808215553,TN:0.866292073536632,FP:0.13370792646336807,FN:0.08935471917844476
Train Step:3,Loss:0.2700535135536358,ACC:0.8895276986728279,MCC:0.7790173683298366,AUC:0.9497550933482313,TP:0.907204488910063,TN:0.8713108941137963,FP:0.1286891058862037,FN:0.09279551108993701
Train Step:4,Loss:0.26619891406133256,ACC:0.8922948793724141,MCC:0.7870325124765035,AUC:0.9515674784323902,TP:0.9415594727648087,TN:0.8415252850362773,FP:0.15847471496372265,FN:0.05844052723519136
Train Step:5,Loss:0.2618163757796945,ACC:0.89216055021224,MCC:0.788012371965597,AUC:0.952659628058802,TP:0.9500291143930972,TN:0.8325241394359282,FP:0.1674758605640718,FN:0.04997088560690276
Train Step:6,Loss:0.259722377890828,ACC:0.8912202460910215,MCC:0.7866311115355813,AUC:0.9532447574621802,TP:0.9521994600603462,TN:0.8283781572200098,FP:0.17162184277999018,FN:0.0478005399396538
Train Step:7,Loss:0.2569884023104591,ACC:0.8940680242867122,MCC:0.7885314605025354,AUC:0.9536230001247997,TP:0.9216558149383304,TN:0.8656374447656975,FP:0.13436255523430254,FN:0.07834418506166958
Train Step:8,Loss:0.25377638412789366,ACC:0.8907366611143948,MCC:0.7860437633004659,AUC:0.9538539027998368,TP:0.9539463236461807,TN:0.8255959849435383,FP:0.17440401505646172,FN:0.04605367635381928
Train Step:9,Loss:0.252089544428491,ACC:0.8942023534468863,MCC:0.7887894736674546,AUC:0.953681141989859,TP:0.9216028796781536,TN:0.8659647591511647,FP:0.1340352408488353,FN:0.07839712032184638
Train Step:10,Loss:0.25011647942251175,ACC:0.8954381817204878,MCC:0.7925719593523448,AUC:0.9549737430164968,TP:0.9382774866338468,TN:0.8512901642027167,FP:0.14870983579728328,FN:0.0617225133661532
Train Step:11,Loss:0.24823633732980696,ACC:0.8959754983611843,MCC:0.7938234892675919,AUC:0.9551173996848736,TP:0.9403419617807421,TN:0.8502536686487371,FP:0.1497463313512629,FN:0.059658038219257845
Train Step:12,Loss:0.24605873645893458,ACC:0.8907097952823599,MCC:0.7875026663646557,AUC:0.954735480922412,TP:0.9618336774125245,TN:0.8174131253068573,FP:0.18258687469314278,FN:0.038166322587475515
Train Step:13,Loss:0.24466982926616723,ACC:0.8967277416581592,MCC:0.7939339192313587,AUC:0.9550996140612071,TP:0.925520088931237,TN:0.8670558071027221,FP:0.13294419289727782,FN:0.07447991106876291
Train Step:14,Loss:0.24318912162006587,ACC:0.8919724893879963,MCC:0.7838027531612536,AUC:0.9543314535814815,TP:0.9002699698269017,TN:0.8834215263760842,FP:0.11657847362391577,FN:0.0997300301730983
Train Step:15,Loss:0.24171858488999565,ACC:0.8927247326849712,MCC:0.7892711920207317,AUC:0.9540555670531137,TP:0.9513524958975174,TN:0.8323059298456167,FP:0.16769407015438328,FN:0.04864750410248266
Train Step:16,Loss:0.239242664827355,ACC:0.8960829616893236,MCC:0.7929223446181952,AUC:0.9551943609864378,TP:0.9288550103223757,TN:0.8623097485134472,FP:0.13769025148655284,FN:0.07114498967762427
Train Step:17,Loss:0.23942646380813642,ACC:0.8936919026382247,MCC:0.790486222807597,AUC:0.9539035344793229,TP:0.9475940924249643,TN:0.8381430363864492,FP:0.1618569636135508,FN:0.05240590757503573
Train Step:18,Loss:0.23734602355237666,ACC:0.89439041427113,MCC:0.7886669809635979,AUC:0.9547352369079292,TP:0.9080514530728918,TN:0.8803120397141454,FP:0.11968796028585456,FN:0.09194854692710815
Train Step:19,Loss:0.23636067401746225,ACC:0.8936113051421203,MCC:0.78738928153178,AUC:0.9548329293334259,TP:0.9168387062622413,TN:0.8696743221864601,FP:0.1303256778135399,FN:0.08316129373775873
Train Step:20,Loss:0.23463804930791088,ACC:0.8948471334157219,MCC:0.7902091056305499,AUC:0.9546738275589964,TP:0.9243025779471706,TN:0.8644918444165621,FP:0.1355081555834379,FN:0.0756974220528294
Train Step:21,Loss:0.2323950808281186,ACC:0.8947665359196174,MCC:0.7914499958569845,AUC:0.9543617503619162,TP:0.9396008681382669,TN:0.848562544323823,FP:0.15143745567617697,FN:0.0603991318617331
Train Step:22,Loss:0.2306431567274976,ACC:0.89439041427113,MCC:0.7896814834176069,AUC:0.953830073125134,TP:0.9290667513630829,TN:0.8586547378757297,FP:0.14134526212427037,FN:0.07093324863691705
Train Step:23,Loss:0.2295357424551728,ACC:0.8934232443178766,MCC:0.786715160552,AUC:0.9540021639781887,TP:0.9056164311047589,TN:0.8808575636899242,FP:0.11914243631007583,FN:0.09438356889524112
Train Step:24,Loss:0.22807748961722712,ACC:0.8930739885014239,MCC:0.7861697724355964,AUC:0.9543412329311399,TP:0.912603885448097,TN:0.8729474660411325,FP:0.12705253395886748,FN:0.08739611455190302
Train Step:25,Loss:0.225672976253019,ACC:0.8937187684702596,MCC:0.787984551082374,AUC:0.9539082487236217,TP:0.9237202900852257,TN:0.862800720091648,FP:0.13719927990835198,FN:0.07627970991477423
Train Step:26,Loss:0.223385280242254,ACC:0.8936381709741551,MCC:0.7873193804800215,AUC:0.9538526293041335,TP:0.9137684611719866,TN:0.8728929136435546,FP:0.12710708635644535,FN:0.08623153882801333
Train Step:27,Loss:0.22171421349905004,ACC:0.8954919133845575,MCC:0.791105139077349,AUC:0.9539092782048421,TP:0.9175797999047165,TN:0.872729256450821,FP:0.127270743549179,FN:0.08242020009528347
Train Step:28,Loss:0.2209135858748836,ACC:0.8922680135403793,MCC:0.7844962755162731,AUC:0.9533370079315479,TP:0.9097453813985495,TN:0.8742567235830014,FP:0.12574327641699853,FN:0.09025461860145043
Train Step:29,Loss:0.2179281383752823,ACC:0.8950083284079308,MCC:0.7905146319977615,AUC:0.9533549798147899,TP:0.924196707426817,TN:0.8649282635971851,FP:0.1350717364028149,FN:0.075803292573183
